Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
AI or ML Engineer,Noida,3.5,0,100000,600000,350000.0,Optum
Machine Learning Engineer- LLM,Hyderābād,4.1,0,800000,900000,850000.0,Apple
Data and Analytics -Pricing and Commercial - Senior,Bengaluru,3.7,0,300000,400000,350000.0,EY
"Applied Scientist II, India Machine Learning",Bengaluru,3.6,0,300000,500000,400000.0,ADCI - Karnataka
Associate - Analytics Solutions,Bengaluru,4.1,0,700000,1000000,850000.0,JPMorganChase
Consultant - Insights & Analytics (Forecasting),Hyderābād,4.2,0,400000,700000,550000.0,Chryselys
AI or ML Engineer,Bengaluru,3.5,0,200000,800000,500000.0,Optum
AI Lead,Bengaluru,3.7,0,300000,400000,350000.0,CGI
"Director, Data Science",,3.5,0,600000,700000,650000.0,Brainlabs
SaT-DNA-Data & AI Strategy-Associate Director,Bengaluru,3.7,0,400000,700000,550000.0,EY
AI/ML Engineer,Ahmedabad,4.8,0,400000,600000,500000.0,Glasier Inc
COMPUTER VISION & EDGE AI ENGINEER,Cochin,4.0,0,500000,600000,550000.0,GadgEon
AI/ML Engineer,Hosūr,4.0,0,300000,300000,300000.0,GBrit Software Solutions Pvt Ltd
EY - GDS Consulting - AI & DATA -Statistical Modeler - Senior,Pune,3.7,0,300000,600000,450000.0,EY
"Software Engineer, Machine Learning Compilers",Bengaluru,4.3,0,200000,1000000,600000.0,Google
AI/ML Engineer,Noida,3.5,0,100000,600000,350000.0,Optum
Data Science Analyst (Senior),Gurgaon,3.7,0,400000,600000,500000.0,Infogain
Risk Data Engineer Senior-AWS-Data Scientist,Pune,3.7,0,600000,1000000,800000.0,EY
EY - GDS Consulting - AI and DATA - AWS Data Engineer - Senior,Hyderābād,3.7,0,600000,1000000,800000.0,EY
AI/ML Engineer,Bengaluru,3.7,0,500000,600000,550000.0,Cloudifyops
Product Development Engineer I - Machine Learning,Hyderābād,4.0,0,500000,800000,650000.0,Phenom People
Technical Trainer (Faculty)- Data science,,4.0,0,300000,800000,550000.0,Cranes Varsity
Marketing Analytics Manager,Mumbai,5.0,0,3000000,5500000,4250000.0,Shamrock Value Private Limited
AI/ML Engineer,Mohali,,1,20000,20000,20000.0,Research Infinite Solutions LLP
"Engineer 4, Machine Learning",Chennai,3.8,0,200000,200000,200000.0,Comcast
Graph Engineer- Data Science,Bengaluru,3.9,0,500000,700000,600000.0,Harman International
Staff Engineer- Machine Learning,Chennai,3.9,0,400000,600000,500000.0,Qualcomm
Manager Data Science,Bengaluru,3.3,0,200000,200000,200000.0,iSOCRATES
Product Manager II - AI Knowledge,,3.8,0,200000,500000,350000.0,Uber
SaT-DnA-Data Science Gen AI Assistant Manager,Bengaluru,3.7,0,400000,700000,550000.0,EY
Internal Audit - Embedded Data Analytics - Associate - Bengaluru,Bengaluru,3.8,0,400000,500000,450000.0,Goldman Sachs
"Machine Learning Engineer III, MLOps",Chennai,3.3,0,300000,800000,550000.0,ACV Auctions
